Predicted,Actual
167.18231,223.96
173.0063,174.21
160.29684,169.59
180.45415,170.85
178.4986,175.74
160.21022,172.69
153.48221,140.36
169.30609,170.29
165.93663,152.34
159.64658,157.96
166.93092,190.54
170.38808,185.04
153.1854,142.64
168.53133,149.84
153.29408,137.35
177.23315,169.71
181.07489,216.67
158.01892,135.43
158.7421,149.64
161.52672,173.66
175.99391,189.97
179.13898,194.68
156.89185,179.21
176.29666,175.43
176.31232,176.08
164.77652,141.11
153.46509,147.04
177.69774,178.85
171.22656,190.29
177.90552,187.87
172.03561,175.43
166.8734,147.81
170.25606,181.91
173.69992,164.87
179.93007,174.0
174.37263,176.3
177.90515,197.96
170.91376,186.86
179.66971,175.46
160.30052,157.44
164.60226,146.63
174.80714,186.19
168.85727,133.41
178.96666,175.49
177.05707,182.63
167.41502,193.58
156.93726,163.98
165.50717,143.86
179.88289,169.02
153.24686,129.61
158.72523,178.44
165.8948,153.04
167.93246,171.52
172.6459,189.3
159.13403,163.64
171.90369,151.6
154.91728,156.57
149.71417,157.65
181.54865,185.27
171.55188,192.75
175.49803,157.96
149.98029,137.59
157.47522,219.86
179.63837,167.78
164.07364,193.58
170.7562,165.02
157.88545,132.37
163.13626,168.22
164.7942,169.24
169.92085,172.28
153.18214,154.51
156.68588,157.44
177.36464,170.03
153.13126,165.75
179.46881,160.25
163.02498,164.66
166.0368,164.92
152.68271,142.56
158.29385,134.87
181.09608,160.25
167.00386,185.01
172.8287,187.15
177.61694,182.4
160.31207,163.62
169.59018,163.98
153.9667,147.04
171.63257,170.77
162.74916,142.65
173.07227,234.82
152.97813,167.45
155.65746,143.11
182.10071,180.57
170.21616,187.0
177.13098,182.32
170.5247,153.04
179.47462,175.43
174.3524,173.75
156.38844,173.66
176.54584,172.75
180.81679,173.31
159.14056,182.68
155.45796,154.53
173.55621,160.77
177.12007,187.15
176.45276,190.69
155.2149,152.95
166.99242,213.07
161.55148,150.82
173.79123,178.18
172.52988,150.17
171.08728,165.07
155.52748,141.56
153.21388,138.2
149.23979,136.72
172.59752,147.41
167.53531,138.92
170.82343,193.97
181.7114,146.4
168.68504,151.92
156.93831,138.27
170.5948,167.63
176.92703,164.87
161.18309,154.09
167.43192,154.46
159.66437,181.18
173.79677,144.29
156.31947,141.56
167.97212,193.05
166.5646,167.04
166.56233,144.49
169.01776,196.45
177.81815,145.43
153.70734,142.53
151.36563,174.31
167.40868,188.08
176.27878,148.47
155.54848,149.84
155.72379,162.03
179.57834,187.65
155.57191,155.74
177.3964,165.29
178.35623,179.36
177.06891,157.65
161.46582,154.46
181.16794,234.4
162.32742,168.82
148.27254,157.96
181.75134,178.72
168.5638,213.07
172.19844,188.01
149.49629,142.56
181.15231,145.47
172.9315,169.58
179.52621,157.37
165.739,193.22
163.19868,160.01
167.8302,142.16
174.9271,228.88
174.90698,188.63
169.90457,150.7
174.88129,153.34
155.19788,142.99
163.51944,157.35
170.37811,138.38
